patch,Li_W_m-2_sr-1,rho,cone_degrees,E_W_m-2,Lo_W_m-2_sr-1,exact_Lo,display_linear,srgb_code
0,2,0.6,90,6.28322473387245,1.20000752994367,1.2,0.545456101222706,195
1,2,0.6,30,1.57079742197652,0.300000209164282,0.3,0.230769354535058,132
2,2,0.6,60,4.71240212258364,0.900002509975112,0.9,0.473684905809362,183
3,2,0,90,6.28322473387245,0,0,0,0
4,2,1,90,6.28322473387245,2.00001254990612,2,0.666668061094847,213
5,4,0.6,90,12.5664494677449,2.40001505988734,2.4,0.705883655693827,219
