x,linear,clipped_linear,tone_linear,clipped_srgb,tone_srgb
0,0,0,0,0,0
1,0.031496062992125984,0.031496062992125984,0.03053435114503817,0.19476173673349101,0.19155534173772298
2,0.062992125984251968,0.062992125984251968,0.059259259259259262,0.27839192023858766,0.27001311345046403
3,0.094488188976377951,0.094488188976377951,0.086330935251798552,0.3397538991604091,0.32517931050847265
4,0.12598425196850394,0.12598425196850394,0.11188811188811189,0.39002482219274409,0.36855755903337717
5,0.15748031496062992,0.15748031496062992,0.1360544217687075,0.43338622648232772,0.40451469210596919
6,0.1889763779527559,0.1889763779527559,0.15894039735099336,0.47193323718833297,0.43526785104936794
7,0.22047244094488189,0.22047244094488189,0.18064516129032257,0.5068884292911191,0.46212646604382041
8,0.25196850393700787,0.25196850393700787,0.20125786163522014,0.53903686875780799,0.48594048009479468
9,0.28346456692913385,0.28346456692913385,0.22085889570552147,0.56891718980007733,0.50729859685664613
10,0.31496062992125984,0.31496062992125984,0.23952095808383236,0.59691739933632371,0.52662838494279274
11,0.34645669291338582,0.34645669291338582,0.25730994152046782,0.62332765670860668,0.54425182063543076
12,0.37795275590551181,0.37795275590551181,0.2742857142857143,0.64837148548581858,0.56041836899942976
13,0.40944881889763779,0.40944881889763779,0.29050279329608941,0.67222528258841352,0.57532580902312014
14,0.44094488188976377,0.44094488188976377,0.30601092896174859,0.69503106901478695,0.58913394054978951
15,0.47244094488188976,0.47244094488188976,0.32085561497326204,0.71690513535649059,0.60197394257969561
16,0.50393700787401574,0.50393700787401574,0.33507853403141363,0.73794408726429628,0.61395496142274419
17,0.53543307086614178,0.53543307086614178,0.34871794871794876,0.75822918515079485,0.62516887096858698
18,0.56692913385826771,0.56692913385826771,0.36180904522613067,0.77782953064691296,0.63569379001562865
19,0.59842519685039375,0.59842519685039375,0.37438423645320201,0.79680445280972079,0.64559673217475855
20,0.62992125984251968,0.62992125984251968,0.38647342995169082,0.81520532626100639,0.65493563653866937
21,0.66141732283464572,0.66141732283464572,0.3981042654028436,0.83307697790982127,0.66376094738974711
22,0.69291338582677164,0.69291338582677164,0.40930232558139534,0.85045879036041772,0.67211685963297674
23,0.72440944881889768,0.72440944881889768,0.42009132420091327,0.86738557811325978,0.68004231250538005
24,0.75590551181102361,0.75590551181102361,0.43049327354260092,0.8838882911132504,0.68757179102107202
25,0.78740157480314965,0.78740157480314965,0.44052863436123352,0.89999458538824195,0.69473597867561376
26,0.81889763779527558,0.81889763779527558,0.45021645021645024,0.91572929015908,0.7015622937378494
27,0.85039370078740162,0.85039370078740162,0.45957446808510638,0.93111479343448855,0.70807533346304119
28,0.88188976377952755,0.88188976377952755,0.46861924686192469,0.94617136278669334,0.71429724476732159
29,0.91338582677165359,0.91338582677165359,0.47736625514403291,0.96091741411367015,0.72024803564718809
30,0.94488188976377951,0.94488188976377951,0.48582995951417002,0.9753697383123584,0.72594583846179206
31,0.97637795275590555,0.97637795275590555,0.49402390438247012,0.98954369362793115,0.73140713381361078
32,1.0078740157480315,1,0.50196078431372548,0.99999999999999989,0.73664694195158698
33,1.0393700787401574,1,0.50965250965250963,0.99999999999999989,0.74167898722964831
34,1.0708661417322836,1,0.51711026615969591,0.99999999999999989,0.74651584007533001
35,1.1023622047244095,1,0.52434456928838957,0.99999999999999989,0.75116904008046181
36,1.1338582677165354,1,0.53136531365313655,0.99999999999999989,0.755649203161879
37,1.1653543307086613,1,0.53818181818181821,0.99999999999999989,0.75996611521303081
38,1.1968503937007875,1,0.54480286738351258,0.99999999999999989,0.76412881424605539
39,1.2283464566929134,1,0.5512367491166078,0.99999999999999989,0.76814566268488993
40,1.2598425196850394,1,0.55749128919860624,0.99999999999999989,0.77202441119554355
41,1.2913385826771653,1,0.56357388316151202,0.99999999999999989,0.77577225521616799
42,1.3228346456692914,1,0.56949152542372883,0.99999999999999989,0.7793958851665771
43,1.3543307086614174,1,0.57525083612040129,0.99999999999999989,0.78290153116623928
44,1.3858267716535433,1,0.58085808580858078,0.99999999999999989,0.78629500296519017
45,1.4173228346456692,1,0.58631921824104227,0.99999999999999989,0.78958172568877827
46,1.4488188976377954,1,0.59163987138263663,0.99999999999999989,0.79276677191074008
47,1.4803149606299213,1,0.59682539682539681,0.99999999999999989,0.79585489049665992
48,1.5118110236220472,1,0.60188087774294674,0.99999999999999989,0.79885053259890237
49,1.5433070866141732,1,0.60681114551083593,0.99999999999999989,0.80175787513259666
50,1.5748031496062993,1,0.61162079510703371,0.99999999999999989,0.80458084201858093
51,1.6062992125984252,1,0.61631419939577048,0.99999999999999989,0.80732312344204116
52,1.6377952755905512,1,0.62089552238805978,0.99999999999999989,0.80998819334386152
53,1.6692913385826771,1,0.62536873156342188,0.99999999999999989,0.81257932533452082
54,1.7007874015748032,1,0.62973760932944611,0.99999999999999989,0.81509960719702423
55,1.7322834645669292,1,0.63400576368876083,0.99999999999999989,0.81755195412524551
56,1.7637795275590551,1,0.63817663817663817,0.99999999999999989,0.81993912082667197
57,1.795275590551181,1,0.6422535211267606,0.99999999999999989,0.8222637126034873
58,1.8267716535433072,1,0.64623955431754876,0.99999999999999989,0.8245281955128414
59,1.8582677165354331,1,0.65013774104683186,0.99999999999999989,0.82673490569577035
60,1.889763779527559,1,0.65395095367847411,0.99999999999999989,0.82888605795428205
61,1.921259842519685,1,0.65768194070080854,0.99999999999999989,0.83098375364742261
62,1.9527559055118111,1,0.66133333333333333,0.99999999999999989,0.83302998796951155
63,1.984251968503937,1,0.66490765171503963,0.99999999999999989,0.8350266566670228
64,2.015748031496063,1,0.66840731070496084,0.99999999999999989,0.83697556224469272
65,2.0472440944881889,1,0.67183462532299743,0.99999999999999989,0.83887841970621546
66,2.0787401574803148,1,0.67519181585677746,0.99999999999999989,0.84073686187028762
67,2.1102362204724407,1,0.6784810126582278,0.99999999999999989,0.8425524442986797
68,2.1417322834645671,1,0.68170426065162915,0.99999999999999989,0.8443266498693881
69,2.173228346456693,1,0.68486352357320102,0.99999999999999989,0.84606089302470966
70,2.204724409448819,1,0.68796068796068799,0.99999999999999989,0.84775652372120502
71,2.2362204724409449,1,0.69099756690997571,0.99999999999999989,0.84941483110596661
72,2.2677165354330708,1,0.69397590361445782,0.99999999999999989,0.85103704694131921
73,2.2992125984251968,1,0.69689737470167068,0.99999999999999989,0.85262434879803795
74,2.3307086614173227,1,0.69976359338061467,0.99999999999999989,0.8541778630353366
75,2.3622047244094486,1,0.70257611241217799,0.99999999999999989,0.85569866758423452
76,2.393700787401575,1,0.7053364269141531,0.99999999999999989,0.85718779454943261
77,2.4251968503937009,1,0.7080459770114943,0.99999999999999989,0.85864623264350171
78,2.4566929133858268,1,0.71070615034168561,0.99999999999999989,0.86007492946598096
79,2.4881889763779528,1,0.71331828442437928,0.99999999999999989,0.86147479363891377
80,2.5196850393700787,1,0.71588366890380317,0.99999999999999989,0.86284669680935788
81,2.5511811023622046,1,0.71840354767184034,0.99999999999999989,0.86419147552853448
82,2.5826771653543306,1,0.72087912087912087,0.99999999999999989,0.86550993301647206
83,2.6141732283464565,1,0.72331154684095855,0.99999999999999989,0.86680284082027859
84,2.6456692913385829,1,0.72570194384449249,0.99999999999999989,0.8680709403735144
85,2.6771653543307088,1,0.72805139186295509,0.99999999999999989,0.86931494446353941
86,2.7086614173228347,1,0.73036093418259029,0.99999999999999989,0.87053553861316513
87,2.7401574803149606,1,0.73263157894736841,0.99999999999999989,0.87173338238243991
88,2.7716535433070866,1,0.73486430062630481,0.99999999999999989,0.87290911059594878
89,2.8031496062992125,1,0.73706004140786752,0.99999999999999989,0.87406333450059326
90,2.8346456692913384,1,0.73921971252566732,0.99999999999999989,0.87519664285843601
91,2.8661417322834644,1,0.74134419551934827,0.99999999999999989,0.87630960297885763
92,2.8976377952755907,1,0.74343434343434345,0.99999999999999989,0.87740276169394527
93,2.9291338582677167,1,0.74549098196392782,0.99999999999999989,0.87847664628075561
94,2.9606299212598426,1,0.74751491053677932,0.99999999999999989,0.87953176533381872
95,2.9921259842519685,1,0.74950690335305725,0.99999999999999989,0.8805686095910088
96,3.0236220472440944,1,0.75146771037181992,0.99999999999999989,0.88158765271568851
97,3.0551181102362204,1,0.75339805825242723,0.99999999999999989,0.88258935203781907
98,3.0866141732283463,1,0.75529865125240847,0.99999999999999989,0.88357414925654387
99,3.1181102362204722,1,0.75717017208412996,0.99999999999999989,0.88454247110657902
100,3.1496062992125986,1,0.75901328273244795,0.99999999999999989,0.88549472999058054
101,3.1811023622047245,1,0.76082862523540495,0.99999999999999989,0.88643132457951113
102,3.2125984251968505,1,0.76261682242990658,0.99999999999999989,0.88735264038289152
103,3.2440944881889764,1,0.76437847866419306,0.99999999999999989,0.88825905029069563
104,3.2755905511811023,1,0.7661141804788214,0.99999999999999989,0.88915091508853072
105,3.3070866141732282,1,0.76782449725776969,0.99999999999999989,0.89002858394763606
106,3.3385826771653542,1,0.76950998185117969,0.99999999999999989,0.89089239489113259
107,3.3700787401574801,1,0.77117117117117129,0.99999999999999989,0.89174267523786321
108,3.4015748031496065,1,0.77280858676207509,0.99999999999999989,0.89257974202507873
109,3.4330708661417324,1,0.77442273534635875,0.99999999999999989,0.89340390241114132
110,3.4645669291338583,1,0.77601410934744264,0.99999999999999989,0.89421545405934644
111,3.4960629921259843,1,0.77758318739054288,0.99999999999999989,0.8950146855038924
112,3.5275590551181102,1,0.77913043478260868,0.99999999999999989,0.89580187649896548
113,3.5590551181102361,1,0.78065630397236618,0.99999999999999989,0.89657729835184607
114,3.590551181102362,1,0.78216123499142365,0.99999999999999989,0.89734121424088709
115,3.622047244094488,1,0.78364565587734236,0.99999999999999989,0.89809387951916497
116,3.6535433070866143,1,0.78510998307952617,0.99999999999999989,0.8988355420045544
117,3.6850393700787403,1,0.78655462184873948,0.99999999999999989,0.89956644225693194
118,3.7165354330708662,1,0.78797996661101832,0.99999999999999989,0.90028681384317477
119,3.7480314960629921,1,0.78938640132669979,0.99999999999999989,0.90099688359057939
120,3.7795275590551181,1,0.79077429983525527,0.99999999999999989,0.90169687182928859
121,3.811023622047244,1,0.79214402618657931,0.99999999999999989,0.90238699262428157
122,3.8425196850393699,1,0.79349593495934956,0.99999999999999989,0.90306745399745092
