seed,N,rr_mean,uncompensated_mean
1,65536,1.9973377070477851,1.5981634935265359
2,65536,1.9984093543701043,1.5986788682900026
3,65536,1.9945007813621072,1.5972435444438098
4,65536,2.0001616589522455,1.6000489292187965
5,65536,1.9970275992293016,1.5984743695943953
6,65536,2.0051994089847995,1.6025462551746852
7,65536,1.9994411908622116,1.6002372194154681
8,65536,2.0007342086322883,1.6002750706395741
