mode,depth,channel,mean_total,sample_variance,standard_error,mean_indirect
0,2,r,0.5515319824219109,3.1723337514068764e-05,0.00199133552905044,0.0
0,2,g,0.5515319824219109,3.1723337514068764e-05,0.00199133552905044,0.0
0,2,b,0.5515319824219109,3.1723337514068764e-05,0.00199133552905044,0.0
0,4,r,0.7537634506225984,0.00010630334877059852,0.003645259743327602,0.20171572113037484
0,4,g,0.6860198745727927,9.747834456442101e-05,0.0034906722949243785,0.1339721450805691
0,4,b,0.6367795181274788,0.00011518836361645348,0.0037945415338426175,0.08473178863525525
0,8,r,0.7822966208610953,3.7352082398561394e-05,0.002160789277051368,0.22840410377121526
0,8,g,0.6987060786844647,4.628020267828538e-05,0.002405207960818705,0.1448135615945846
0,8,b,0.6413125411981011,5.1853054937941396e-05,0.0025459049210924344,0.08742002410822108
0,0,r,0.7887200951824417,3.0971627325423635e-05,0.0019676009289685634,0.23020569088552972
0,0,g,0.7024127869984647,2.9403787018395047e-05,0.0019171524136853025,0.14389838270155275
0,0,b,0.6452387558181059,3.3513381115278905e-05,0.002046746843019396,0.08672435152119391
1,2,r,0.5515319824219109,3.1723337514068764e-05,0.00199133552905044,0.0
1,2,g,0.5515319824219109,3.1723337514068764e-05,0.00199133552905044,0.0
1,2,b,0.5515319824219109,3.1723337514068764e-05,0.00199133552905044,0.0
1,4,r,0.6940895309448626,0.0001036335445418587,0.0035991933912659286,0.14204180145263898
1,4,g,0.6940895309448626,0.0001036335445418587,0.0035991933912659286,0.14204180145263898
1,4,b,0.6940895309448626,0.0001036335445418587,0.0035991933912659286,0.14204180145263898
1,8,r,0.7088363332257653,4.326412107731375e-05,0.0023255139506492364,0.15494381613588523
1,8,g,0.7088363332257653,4.326412107731375e-05,0.0023255139506492364,0.15494381613588523
1,8,b,0.7088363332257653,4.326412107731375e-05,0.0023255139506492364,0.15494381613588523
1,0,r,0.7133294334638645,2.9503504543983075e-05,0.001920400496770891,0.1548150291669525
1,0,g,0.7133294334638645,2.9503504543983075e-05,0.001920400496770891,0.1548150291669525
1,0,b,0.7133294334638645,2.9503504543983075e-05,0.001920400496770891,0.1548150291669525
2,2,r,0.5515319824219109,3.1723337514068764e-05,0.00199133552905044,0.0
2,2,g,0.5515319824219109,3.1723337514068764e-05,0.00199133552905044,0.0
2,2,b,0.5515319824219109,3.1723337514068764e-05,0.00199133552905044,0.0
2,4,r,0.6860198745727927,9.747834456442101e-05,0.0034906722949243785,0.1339721450805691
2,4,g,0.7537634506225984,0.00010630334877059852,0.003645259743327602,0.20171572113037484
2,4,b,0.6367795181274788,0.00011518836361645348,0.0037945415338426175,0.08473178863525525
2,8,r,0.6987060786844647,4.628020267828538e-05,0.002405207960818705,0.1448135615945846
2,8,g,0.7822966208610953,3.7352082398561394e-05,0.002160789277051368,0.22840410377121526
2,8,b,0.6413125411981011,5.1853054937941396e-05,0.0025459049210924344,0.08742002410822108
2,0,r,0.7024127869984647,2.9403787018395047e-05,0.0019171524136853025,0.14389838270155275
2,0,g,0.7887200951824417,3.0971627325423635e-05,0.0019676009289685634,0.23020569088552972
2,0,b,0.6452387558181059,3.3513381115278905e-05,0.002046746843019396,0.08672435152119391
