mode,depth,seed,spp,direct_r,direct_g,direct_b,indirect_r,indirect_g,indirect_b,max_vertices
0,8,3,16384,0.55462646484378642,0.55462646484378642,0.55462646484378642,0.22149234430313561,0.13867409746780629,0.08463905977173028,8
0,8,4,16384,0.56398925781253773,0.56398925781253773,0.56398925781253773,0.2271734328256664,0.14493769969272893,0.088185649063303159,8
0,8,5,16384,0.54843750000003555,0.54843750000003555,0.54843750000003555,0.23362579345474835,0.14565031673050258,0.087277054352571423,8
0,8,6,16384,0.55272216796878615,0.55272216796878615,0.55272216796878615,0.22893065037193919,0.15072043432579366,0.089840350096513699,8
0,8,7,16384,0.55700683593753675,0.55700683593753675,0.55700683593753675,0.22579092906933371,0.14313321829891512,0.087043861047937349,8
0,8,8,16384,0.56049804687503724,0.56049804687503724,0.56049804687503724,0.22983008362694357,0.1435393841403988,0.087665643075181987,8
0,0,1,16384,0.55653076171878668,0.55653076171878668,0.55653076171878668,0.22473915472874603,0.14178690126350993,0.083432523548727031,23
0,0,2,16384,0.55018310546878579,0.55018310546878579,0.55018310546878579,0.23308486562200284,0.14339059429798828,0.085813596311699158,16
0,0,3,16384,0.5566894531250367,0.5566894531250367,0.5566894531250367,0.22895521213112158,0.14151895774365572,0.088155921506888849,17
0,0,4,16384,0.55875244140628699,0.55875244140628699,0.55875244140628699,0.22959683656360211,0.14347790973385643,0.084488427908222752,15
0,0,5,16384,0.5666870117187881,0.5666870117187881,0.5666870117187881,0.23192935369428341,0.14203088461103217,0.086753988137035914,18
0,0,6,16384,0.56065673828128726,0.56065673828128726,0.56065673828128726,0.23161973064025482,0.14748821485540736,0.08963068395057959,16
0,0,7,16384,0.5624023437500375,0.5624023437500375,0.5624023437500375,0.22966276820497009,0.14447520170044961,0.087644054599773341,15
0,0,8,16384,0.55621337890628664,0.55621337890628664,0.55621337890628664,0.23205760549925694,0.14701839740652242,0.087875616206624624,18
1,2,1,16384,0.54542236328128513,0.54542236328128513,0.54542236328128513,0,0,0,2
1,2,2,16384,0.55732421875003679,0.55732421875003679,0.55732421875003679,0,0,0,2
1,2,3,16384,0.55589599609378659,0.55589599609378659,0.55589599609378659,0,0,0,2
1,2,4,16384,0.55256347656253613,0.55256347656253613,0.55256347656253613,0,0,0,2
1,2,5,16384,0.54208984375003466,0.54208984375003466,0.54208984375003466,0,0,0,2
1,2,6,16384,0.54859619140628557,0.54859619140628557,0.54859619140628557,0,0,0,2
1,2,7,16384,0.55700683593753675,0.55700683593753675,0.55700683593753675,0,0,0,2
1,2,8,16384,0.55335693359378624,0.55335693359378624,0.55335693359378624,0,0,0,2
1,4,1,16384,0.54335937500003484,0.54335937500003484,0.54335937500003484,0.13995034790039249,0.13995034790039249,0.13995034790039249,4
1,4,2,16384,0.53875732421878419,0.53875732421878419,0.53875732421878419,0.14773098754883079,0.14773098754883079,0.14773098754883079,4
1,4,3,16384,0.54621582031253524,0.54621582031253524,0.54621582031253524,0.13832495117187713,0.13832495117187713,0.13832495117187713,4
1,4,4,16384,0.57303466796878899,0.57303466796878899,0.57303466796878899,0.13848800659179855,0.13848800659179855,0.13848800659179855,4
1,4,5,16384,0.54859619140628557,0.54859619140628557,0.54859619140628557,0.14261239624023667,0.14261239624023667,0.14261239624023667,4
1,4,6,16384,0.54478759765628504,0.54478759765628504,0.54478759765628504,0.14639837646484638,0.14639837646484638,0.14639837646484638,4
1,4,7,16384,0.56113281250003733,0.56113281250003733,0.56113281250003733,0.13921441650390812,0.13921441650390812,0.13921441650390812,4
1,4,8,16384,0.56049804687503724,0.56049804687503724,0.56049804687503724,0.14361492919922164,0.14361492919922164,0.14361492919922164,4
1,8,1,16384,0.5524047851562861,0.5524047851562861,0.5524047851562861,0.15513109540100289,0.15513109540100289,0.15513109540100289,8
1,8,2,16384,0.54145507812503457,0.54145507812503457,0.54145507812503457,0.15686384401931955,0.15686384401931955,0.15686384401931955,8
1,8,3,16384,0.55462646484378642,0.55462646484378642,0.55462646484378642,0.14934935890960827,0.14934935890960827,0.14934935890960827,8
1,8,4,16384,0.56398925781253773,0.56398925781253773,0.56398925781253773,0.15488532945728503,0.15488532945728503,0.15488532945728503,8
1,8,5,16384,0.54843750000003555,0.54843750000003555,0.54843750000003555,0.15673357103042845,0.15673357103042845,0.15673357103042845,8
1,8,6,16384,0.55272216796878615,0.55272216796878615,0.55272216796878615,0.15772614000892873,0.15772614000892873,0.15772614000892873,8
1,8,7,16384,0.55700683593753675,0.55700683593753675,0.55700683593753675,0.1536932216367739,0.1536932216367739,0.1536932216367739,8
1,8,8,16384,0.56049804687503724,0.56049804687503724,0.56049804687503724,0.15516796862373511,0.15516796862373511,0.15516796862373511,8
1,0,1,16384,0.55653076171878668,0.55653076171878668,0.55653076171878668,0.15121851903562572,0.15121851903562572,0.15121851903562572,23
1,0,2,16384,0.55018310546878579,0.55018310546878579,0.55018310546878579,0.15521954987138928,0.15521954987138928,0.15521954987138928,16
1,0,3,16384,0.5566894531250367,0.5566894531250367,0.5566894531250367,0.15418911596397991,0.15418911596397991,0.15418911596397991,17
1,0,4,16384,0.55875244140628699,0.55875244140628699,0.55875244140628699,0.15376910967482674,0.15376910967482674,0.15376910967482674,15
1,0,5,16384,0.5666870117187881,0.5666870117187881,0.5666870117187881,0.15467939908445713,0.15467939908445713,0.15467939908445713,18
1,0,6,16384,0.56065673828128726,0.56065673828128726,0.56065673828128726,0.15733481360092677,0.15733481360092677,0.15733481360092677,16
1,0,7,16384,0.5624023437500375,0.5624023437500375,0.5624023437500375,0.15533696527998156,0.15533696527998156,0.15533696527998156,15
1,0,8,16384,0.55621337890628664,0.55621337890628664,0.55621337890628664,0.15677276082443278,0.15677276082443278,0.15677276082443278,18
2,2,1,16384,0.54542236328128513,0.54542236328128513,0.54542236328128513,0,0,0,2
2,2,2,16384,0.55732421875003679,0.55732421875003679,0.55732421875003679,0,0,0,2
2,2,3,16384,0.55589599609378659,0.55589599609378659,0.55589599609378659,0,0,0,2
2,2,4,16384,0.55256347656253613,0.55256347656253613,0.55256347656253613,0,0,0,2
2,2,5,16384,0.54208984375003466,0.54208984375003466,0.54208984375003466,0,0,0,2
2,2,6,16384,0.54859619140628557,0.54859619140628557,0.54859619140628557,0,0,0,2
2,2,7,16384,0.55700683593753675,0.55700683593753675,0.55700683593753675,0,0,0,2
2,2,8,16384,0.55335693359378624,0.55335693359378624,0.55335693359378624,0,0,0,2
2,4,1,16384,0.54335937500003484,0.54335937500003484,0.54335937500003484,0.13391213989258072,0.19717764282226877,0.082800811767579335,4
2,4,2,16384,0.53875732421878419,0.53875732421878419,0.53875732421878419,0.13836343383789329,0.21059817504883246,0.088004302978517135,4
2,4,3,16384,0.54621582031253524,0.54621582031253524,0.54621582031253524,0.12933032226562766,0.19785168457031591,0.082422729492188859,4
2,4,4,16384,0.57303466796878899,0.57303466796878899,0.57303466796878899,0.12886813354492402,0.1983130798339881,0.082550872802735556,4
2,4,5,16384,0.54859619140628557,0.54859619140628557,0.54859619140628557,0.13365109252929966,0.20445285034180052,0.084248870849610746,4
2,4,6,16384,0.54478759765628504,0.54478759765628504,0.54478759765628504,0.14055694580078434,0.20432708740234756,0.088845764160157853,4
2,4,7,16384,0.56113281250003733,0.56113281250003733,0.56113281250003733,0.1309116821289088,0.19791912841797246,0.083061462402344952,4
2,4,8,16384,0.56049804687503724,0.56049804687503724,0.56049804687503724,0.13618341064453435,0.20308612060547296,0.085919494628907606,4
2,8,1,16384,0.5524047851562861,0.5524047851562861,0.5524047851562861,0.14533034732742639,0.22832340819931546,0.087107238192751194,8
2,8,2,16384,0.54145507812503457,0.54145507812503457,0.54145507812503457,0.14652299477310513,0.23206618831863973,0.087601337265779552,8
2,8,3,16384,0.55462646484378642,0.55462646484378642,0.55462646484378642,0.13867409746780629,0.22149234430313561,0.08463905977173028,8
2,8,4,16384,0.56398925781253773,0.56398925781253773,0.56398925781253773,0.14493769969272893,0.2271734328256664,0.088185649063303159,8
2,8,5,16384,0.54843750000003555,0.54843750000003555,0.54843750000003555,0.14565031673050258,0.23362579345474835,0.087277054352571423,8
2,8,6,16384,0.55272216796878615,0.55272216796878615,0.55272216796878615,0.15072043432579366,0.22893065037193919,0.089840350096513699,8
2,8,7,16384,0.55700683593753675,0.55700683593753675,0.55700683593753675,0.14313321829891512,0.22579092906933371,0.087043861047937349,8
2,8,8,16384,0.56049804687503724,0.56049804687503724,0.56049804687503724,0.1435393841403988,0.22983008362694357,0.087665643075181987,8
2,0,1,16384,0.55653076171878668,0.55653076171878668,0.55653076171878668,0.14178690126350993,0.22473915472874603,0.083432523548727031,23
2,0,2,16384,0.55018310546878579,0.55018310546878579,0.55018310546878579,0.14339059429798828,0.23308486562200284,0.085813596311699158,16
2,0,3,16384,0.5566894531250367,0.5566894531250367,0.5566894531250367,0.14151895774365572,0.22895521213112158,0.088155921506888849,17
2,0,4,16384,0.55875244140628699,0.55875244140628699,0.55875244140628699,0.14347790973385643,0.22959683656360211,0.084488427908222752,15
2,0,5,16384,0.5666870117187881,0.5666870117187881,0.5666870117187881,0.14203088461103217,0.23192935369428341,0.086753988137035914,18
2,0,6,16384,0.56065673828128726,0.56065673828128726,0.56065673828128726,0.14748821485540736,0.23161973064025482,0.08963068395057959,16
2,0,7,16384,0.5624023437500375,0.5624023437500375,0.5624023437500375,0.14447520170044961,0.22966276820497009,0.087644054599773341,15
2,0,8,16384,0.55621337890628664,0.55621337890628664,0.55621337890628664,0.14701839740652242,0.23205760549925694,0.087875616206624624,18
