mode,depth,seed,spp,direct_r,direct_g,direct_b,indirect_r,indirect_g,indirect_b,max_vertices
0,2,1,16384,0.54542236328128513,0.54542236328128513,0.54542236328128513,0,0,0,2
0,2,2,16384,0.55732421875003679,0.55732421875003679,0.55732421875003679,0,0,0,2
0,2,3,16384,0.55589599609378659,0.55589599609378659,0.55589599609378659,0,0,0,2
0,2,4,16384,0.55256347656253613,0.55256347656253613,0.55256347656253613,0,0,0,2
0,2,5,16384,0.54208984375003466,0.54208984375003466,0.54208984375003466,0,0,0,2
0,2,6,16384,0.54859619140628557,0.54859619140628557,0.54859619140628557,0,0,0,2
0,2,7,16384,0.55700683593753675,0.55700683593753675,0.55700683593753675,0,0,0,2
0,2,8,16384,0.55335693359378624,0.55335693359378624,0.55335693359378624,0,0,0,2
0,4,1,16384,0.54335937500003484,0.54335937500003484,0.54335937500003484,0.19717764282226877,0.13391213989258072,0.082800811767579335,4
0,4,2,16384,0.53875732421878419,0.53875732421878419,0.53875732421878419,0.21059817504883246,0.13836343383789329,0.088004302978517135,4
0,4,3,16384,0.54621582031253524,0.54621582031253524,0.54621582031253524,0.19785168457031591,0.12933032226562766,0.082422729492188859,4
0,4,4,16384,0.57303466796878899,0.57303466796878899,0.57303466796878899,0.1983130798339881,0.12886813354492402,0.082550872802735556,4
0,4,5,16384,0.54859619140628557,0.54859619140628557,0.54859619140628557,0.20445285034180052,0.13365109252929966,0.084248870849610746,4
0,4,6,16384,0.54478759765628504,0.54478759765628504,0.54478759765628504,0.20432708740234756,0.14055694580078434,0.088845764160157853,4
0,4,7,16384,0.56113281250003733,0.56113281250003733,0.56113281250003733,0.19791912841797246,0.1309116821289088,0.083061462402344952,4
0,4,8,16384,0.56049804687503724,0.56049804687503724,0.56049804687503724,0.20308612060547296,0.13618341064453435,0.085919494628907606,4
0,8,1,16384,0.5524047851562861,0.5524047851562861,0.5524047851562861,0.22832340819931546,0.14533034732742639,0.087107238192751194,8
0,8,2,16384,0.54145507812503457,0.54145507812503457,0.54145507812503457,0.23206618831863973,0.14652299477310513,0.087601337265779552,8
