N,i,center,point,box
32,30,0.953125,0.038060233744357574,0.13774068985128926
32,31,0.984375,0.69134171618254536,0.65005271935951814
64,0,0.0078125,0.91573480615127267,0.89210665178826853
64,1,0.0234375,0.4024548389919359,0.40799878693076685
64,2,0.0390625,0.0096073597983847847,0.037478668213559226
64,3,0.0546875,0.22221488349019891,0.23800271148901792
64,4,0.0703125,0.77778511650980087,0.76199728851098192
64,5,0.0859375,0.99039264020161522,0.96252133178644073
64,6,0.1015625,0.59754516100806443,0.59200121306923348
64,7,0.1171875,0.084265193848727438,0.10789334821173151
64,8,0.1328125,0.084265193848727216,0.1078933482117313
64,9,0.1484375,0.59754516100806354,0.5920012130692327
64,10,0.1640625,0.99039264020161522,0.96252133178644073
64,11,0.1796875,0.77778511650980131,0.76199728851098225
64,12,0.1953125,0.22221488349019924,0.23800271148901822
64,13,0.2109375,0.0096073597983846737,0.037478668213559121
64,14,0.2265625,0.40245483899193502,0.40799878693076597
64,15,0.2421875,0.91573480615127201,0.89210665178826798
64,16,0.2578125,0.91573480615127245,0.89210665178826831
64,17,0.2734375,0.40245483899193568,0.40799878693076663
64,18,0.2890625,0.0096073597983847847,0.037478668213559226
64,19,0.3046875,0.22221488349019858,0.23800271148901758
64,20,0.3203125,0.77778511650980064,0.7619972885109817
64,21,0.3359375,0.99039264020161544,0.96252133178644095
64,22,0.3515625,0.59754516100806521,0.59200121306923414
64,23,0.3671875,0.084265193848728104,0.10789334821173213
64,24,0.3828125,0.084265193848727493,0.10789334821173155
64,25,0.3984375,0.5975451610080641,0.59200121306923315
64,26,0.4140625,0.99039264020161522,0.96252133178644073
64,27,0.4296875,0.77778511650980309,0.76199728851098392
64,28,0.4453125,0.22221488349019952,0.2380027114890185
64,29,0.4609375,0.0096073597983849512,0.037478668213559385
64,30,0.4765625,0.40245483899193463,0.40799878693076563
64,31,0.4921875,0.91573480615127278,0.89210665178826876
64,32,0.5078125,0.91573480615127356,0.89210665178826942
64,33,0.5234375,0.40245483899193607,0.40799878693076697
64,34,0.5390625,0.0096073597983852288,0.037478668213559642
64,35,0.5546875,0.2222148834901983,0.23800271148901733
64,36,0.5703125,0.77778511650980175,0.76199728851098281
64,37,0.5859375,0.99039264020161544,0.96252133178644095
64,38,0.6015625,0.59754516100806376,0.59200121306923292
64,39,0.6171875,0.084265193848728326,0.10789334821173234
64,40,0.6328125,0.084265193848727327,0.1078933482117314
64,41,0.6484375,0.59754516100806199,0.59200121306923115
64,42,0.6640625,0.9903926402016151,0.96252133178644073
64,43,0.6796875,0.77778511650980331,0.76199728851098414
64,44,0.6953125,0.22221488349019985,0.2380027114890188
64,45,0.7109375,0.0096073597983848402,0.037478668213559274
64,46,0.7265625,0.40245483899193429,0.4079987869307653
64,47,0.7421875,0.91573480615127256,0.89210665178826853
64,48,0.7578125,0.91573480615127378,0.89210665178826964
64,49,0.7734375,0.40245483899193646,0.40799878693076735
64,50,0.7890625,0.0096073597983852843,0.037478668213559697
64,51,0.8046875,0.22221488349019802,0.23800271148901708
64,52,0.8203125,0.77778511650980153,0.76199728851098247
64,53,0.8359375,0.99039264020161555,0.96252133178644106
64,54,0.8515625,0.59754516100806421,0.59200121306923326
64,55,0.8671875,0.084265193848728492,0.10789334821173249
64,56,0.8828125,0.084265193848725106,0.1078933482117293
64,57,0.8984375,0.5975451610080651,0.59200121306923414
64,58,0.9140625,0.99039264020161499,0.96252133178644061
64,59,0.9296875,0.77778511650980364,0.76199728851098447
64,60,0.9453125,0.22221488349019719,0.23800271148901628
64,61,0.9609375,0.0096073597983847847,0.037478668213559226
64,62,0.9765625,0.40245483899193391,0.40799878693076497
64,63,0.9921875,0.91573480615127045,0.89210665178826642
