method,N,seed,estimate
missing_half,64,27,0.041468132905271148
uniform,64,28,0.39598092490678038
importance,64,28,0.35449987854142007
missing_half,64,28,0.049497615613347548
uniform,64,29,0.35807624671599242
importance,64,29,0.343800981073348
missing_half,64,29,0.044759530839499052
uniform,64,30,0.34994683317408792
importance,64,30,0.3356932358930394
missing_half,64,30,0.04374335414676099
uniform,64,31,0.30171510049929223
importance,64,31,0.3178391331421962
missing_half,64,31,0.037714387562411529
uniform,64,32,0.37179583162449814
importance,64,32,0.34574672730319433
missing_half,64,32,0.046474478953062268
uniform,64,33,0.36445449646725459
importance,64,33,0.33781481040903982
missing_half,64,33,0.045556812058406823
uniform,64,34,0.33241338456207931
importance,64,34,0.33398055855154252
missing_half,64,34,0.041551673070259913
uniform,64,35,0.35619831381913525
importance,64,35,0.34058457054312613
missing_half,64,35,0.044524789227391906
uniform,64,36,0.29879882612284436
importance,64,36,0.32402633421991756
missing_half,64,36,0.037349853265355545
uniform,64,37,0.34830370300878566
importance,64,37,0.34516047079816503
missing_half,64,37,0.043537962876098207
uniform,64,38,0.37791050395130754
importance,64,38,0.35278464600724757
missing_half,64,38,0.047238812993913443
uniform,64,39,0.35849941888204973
importance,64,39,0.35078870132322926
missing_half,64,39,0.044812427360256216
uniform,64,40,0.33737493931101525
importance,64,40,0.34401058650389438
missing_half,64,40,0.042171867413876907
uniform,64,41,0.27887270986462881
importance,64,41,0.32053972040598905
missing_half,64,41,0.034859088733078601
uniform,64,42,0.29377930018129605
importance,64,42,0.31217501096309097
missing_half,64,42,0.036722412522662007
uniform,64,43,0.27370912424400906
importance,64,43,0.30971706425909573
missing_half,64,43,0.034213640530501133
uniform,64,44,0.30372669833145549
importance,64,44,0.32590756032824547
missing_half,64,44,0.037965837291431936
uniform,64,45,0.32921296502534975
importance,64,45,0.32845173875920508
missing_half,64,45,0.041151620628168718
uniform,64,46,0.29105558616556426
importance,64,46,0.3145283656187573
missing_half,64,46,0.036381948270695533
uniform,64,47,0.36877233450238789
importance,64,47,0.3460449342965663
missing_half,64,47,0.046096541812798486
uniform,64,48,0.29222132977236359
importance,64,48,0.32680624370007516
missing_half,64,48,0.036527666221545449
uniform,64,49,0.35285458957645482
importance,64,49,0.3405264015552078
missing_half,64,49,0.044106823697056853
uniform,64,50,0.3079028689103408
importance,64,50,0.31988589057440597
missing_half,64,50,0.0384878586137926
uniform,64,51,0.29214411444046656
importance,64,51,0.32328189323332451
missing_half,64,51,0.03651801430505832
uniform,64,52,0.36540111423222782
importance,64,52,0.35199421200226544
missing_half,64,52,0.045675139279028477
uniform,64,53,0.37120761586397966
importance,64,53,0.35311778068683203
missing_half,64,53,0.046400951982997457
uniform,64,54,0.30969547576661099
importance,64,54,0.32311908061860733
missing_half,64,54,0.038711934470826374
uniform,64,55,0.35509605509032494
importance,64,55,0.33977469876346267
missing_half,64,55,0.044387006886290617
uniform,64,56,0.35559387695139072
importance,64,56,0.33809096204038858
missing_half,64,56,0.04444923461892384
uniform,64,57,0.32602533301636144
importance,64,57,0.32275375028626929
missing_half,64,57,0.04075316662704518
uniform,64,58,0.34504742417468132
importance,64,58,0.33783341440177983
missing_half,64,58,0.043130928021835165
uniform,64,59,0.32544702509990847
