experiment,method,mean,standard_error,mse,N_min,N_max,elapsed_min_ms,elapsed_max_ms
fixed,bsdf,0.11636543273925781,0.0012324936711632377,2.239742114052008e-05,131072,131072,0.0,0.0
fixed,light,0.11979453349726689,3.69677615502928e-07,1.5775063139179878e-12,131072,131072,0.0,0.0
fixed,mis,0.11979516616296691,2.037075458572451e-07,3.145926004021441e-13,131072,131072,0.0,0.0
fixed,double_count,0.2360119014373601,0.0015557419983098552,0.013523235795226454,131072,131072,0.0,0.0
timed,bsdf,0.11794040378808512,0.00045763671349694955,4.906739077457367e-06,496128,553472,200.000042,200.092083
timed,light,0.11979518969152565,1.9169048088284197e-07,2.745779868589088e-13,572928,642304,200.005958,200.070375
timed,mis,0.11979526811416452,1.9269195428347089e-07,2.627564441406742e-13,262144,296960,200.017375,200.148667
